"num_simulation","samplesize","OR","power"
5000,20,0.2,0.1562
5000,40,0.2,0.3236
5000,60,0.2,0.5222
5000,80,0.2,0.6722
5000,100,0.2,0.775
5000,120,0.2,0.835
5000,30,0.4,0.1224
5000,80,0.4,0.3556
5000,130,0.4,0.5422
5000,180,0.4,0.6832
5000,230,0.4,0.7866
5000,280,0.4,0.85
5000,350,0.6,0.5432
5000,430,0.6,0.6168
5000,510,0.6,0.6968
5000,590,0.6,0.762
5000,670,0.6,0.8092
5000,750,0.6,0.847
5000,1500,0.8,0.503
5000,1900,0.8,0.5916
5000,2300,0.8,0.6776
5000,2700,0.8,0.7536
5000,3100,0.8,0.7964
5000,3500,0.8,0.8502
