"num_simulation","samplesize","OR","power"
5000,20,0.2,NA
5000,30,0.2,NA
5000,40,0.2,NA
5000,50,0.2,NA
5000,60,0.2,NA
5000,70,0.2,NA
5000,80,0.2,NA
5000,90,0.2,NA
5000,100,0.2,NA
5000,110,0.2,NA
5000,120,0.2,NA
5000,30,0.4,NA
5000,55,0.4,NA
5000,80,0.4,NA
5000,105,0.4,NA
5000,130,0.4,NA
5000,155,0.4,NA
5000,180,0.4,NA
5000,205,0.4,NA
5000,230,0.4,NA
5000,255,0.4,NA
5000,280,0.4,NA
5000,50,0.6,NA
5000,120,0.6,NA
5000,190,0.6,NA
5000,260,0.6,NA
5000,330,0.6,NA
5000,400,0.6,NA
5000,470,0.6,NA
5000,540,0.6,NA
5000,610,0.6,NA
5000,680,0.6,NA
5000,750,0.6,NA
5000,1000,0.8,NA
5000,1250,0.8,NA
5000,1500,0.8,NA
5000,1750,0.8,NA
5000,2000,0.8,NA
5000,2250,0.8,NA
5000,2500,0.8,NA
5000,2750,0.8,NA
5000,3000,0.8,NA
5000,3250,0.8,NA
5000,3500,0.8,NA
